elapsed_time,x,y,z,pitch,roll,yaw,x_speed,y_speed,z_speed,pitch_speed,roll_speed,yaw_speed,control_x,control_y,control_z,control_yaw
1.52,1.3601112294767603,0.9699388116040026,1.3276562620380705,0.2271431414404881,0.0032571499351569944,-0.005663459671901,0.05173367717760699,0.046334103342584566,0.02346147973356855,0.005871856917341933,0.017163686154234678,-0.02413370145020698,0,0,0,0
1.56,1.3620980805463139,0.9718278387375238,1.328422240266452,0.22651527098252935,0.002253578878652532,-0.005673211062353451,0.04961277245003689,0.04717005454686071,0.019126900918101992,-0.015678273342253055,-0.025059725525873034,-0.0002434976244583835,0,0,0,0
1.60,1.3642079282907937,0.9737400911733387,1.3290721098457596,0.22599600659390237,0.003588709702680659,-0.007094980827125047,0.052717021618937085,0.047779870971008595,0.016237754004515915,-0.01297443006151199,0.03335981029842117,-0.035524585896169934,0,0,0,0
1.64,1.3663203594465416,0.9758168678315159,1.3296082435742258,0.22468647694510946,0.0037510160240209894,-0.006421029845544085,0.05277496900443144,0.05188421097946932,0.013394254683776924,-0.03271604210029845,0.004054906620105505,0.016837349736422064,0,0,0,0
1.68,1.3684112888845814,0.9776549466208861,1.3299328825099466,0.2251968439809242,0.005728439644090866,-0.00824194153460604,0.05222192670875414,0.04590686518498499,0.00810800708985724,0.012746652017041843,0.049387066574689095,-0.045478108940134154,0,0,0,0
1.72,1.3704872043931289,0.9796874665763501,1.3302999351929632,0.22414235837849625,0.0049364993735036,-0.007936213335705305,0.05202818443258921,0.05094057184426973,0.00919935546983215,-0.026428325805523765,-0.019848213613731843,0.0076623942800931304,0,0,0,0
1.76,1.3726597395095215,0.9817805585743774,1.330472489470253,0.22402125574856147,0.005835248215780367,-0.008256427243478897,0.05419777986573437,0.05221592898170449,0.0043046755216448965,-0.0030211220195442774,0.022420899685700428,-0.007988309488077135,0,0,0,0
1.80,1.374282996914915,0.9843042650424983,1.331030103681231,0.21779880822540734,0.0007614521166322691,-0.006667998824217575,0.040135555120799735,0.062399444304661475,0.013787188542301494,-0.15385199212522951,-0.12545122069514292,0.03927439737214648,0,0,0,0
1.84,1.376763816345863,0.9860577661285027,1.3307543620137658,0.22210308407457047,0.00616057950885443,-0.007115598659493555,0.06188222723273692,0.043739802785850684,-0.0068781743285110655,0.10736701464342684,0.13467728605153217,-0.011165050696696254,0,0,0,0
1.88,1.3788988381780027,0.9881986325840957,1.3309019932396158,0.2228709347547141,0.008477766138683118,-0.009128375746353872,0.05414596614342692,0.054294190755869165,0.0037440532158736894,0.019473345098582798,0.05876582005766536,-0.05104573562612435,0,0,0,0
1.92,1.3808448888680445,0.9903969544819061,1.3309989975075056,0.22212550973744158,0.007225943198540946,-0.007933967798625468,0.04862493934604266,0.0549283065909338,0.002423794337211884,-0.018625540659026475,-0.03127863772916052,0.029844039679911814,0,0,0,0
1.96,1.3828245436135813,0.9926692935734692,1.3310412379386407,0.2223672069740017,0.00791155970838224,-0.008393943014993337,0.04954693656807452,0.05687226072357437,0.0010571964463890907,0.006049215235899896,0.0171596576623865,-0.01151229168603578,0,0,0,0
2.00,1.3846565324318314,0.9948824428850358,1.331168023930249,0.22138565795825668,0.007229389422855101,-0.007333158487199659,0.045541075882895875,0.05501627506357051,0.0031517498399568303,-0.024400147950424524,-0.016957946701838037,0.02636984909209148,0,0,-20,0
2.04,1.3865391968944423,0.9972166670850622,1.3313608476860999,0.22110316228691237,0.006688773928837183,-0.007436797304485582,0.04744731644206213,0.05882762248126763,0.004859585944865469,-0.007119516928257082,-0.013624708453134305,-0.002611927859214392,0,0,-20,0
2.08,1.388348948003917,0.9995049219263419,1.3314465909107083,0.2206594507738855,0.005834167525220757,-0.006846361685747743,0.044846337964152834,0.05670384696706716,0.0021247505299450613,-0.010995344259003732,-0.021177479821539707,0.014631224794041045,0,0,-20,0
2.12,1.390160885635354,1.0017836550105144,1.3303122980981434,0.22130403933986018,0.004537801063992569,-0.008279636041382415,0.045231891960352696,0.05688463382044273,-0.02831566002006866,0.016091039707544302,-0.032361548597451675,-0.0357792176059608,0,0,-20,0
2.16,1.3919476687317374,1.0043017618228516,1.325890765292912,0.21993472625097663,0.004269897292693059,-0.008852175831415992,0.044336118699747455,0.062482728181390966,-0.10971315079282094,-0.03397727892587663,-0.0066475966940178965,-0.014206644411757355,0,0,-20,0
2.20,1.3937606021884537,1.006827928593398,1.3190987037412243,0.21866504433332876,0.004997991216240449,-0.006639485023673769,0.045687195373831216,0.06366117540898794,-0.17116471757606372,-0.03199687535099455,0.018348477828778114,0.05576136115790115,0,0,-20,0
2.24,1.395628590594408,1.009317070883143,1.3112198037711742,0.21918685418086906,0.007835009066302981,-0.006520137261501619,0.04700260507794401,0.0626321724774939,-0.1982500654503301,0.013129857825423509,0.0713854696209674,0.003003046332853603,0,0,-20,0
2.28,1.3974411198570136,1.0118450143671154,1.3027308543763407,0.21868183795443158,0.008503969303650383,-0.0044779227312570615,0.04541966875333225,0.06334703556957315,-0.21272223159743808,-0.012655061737802323,0.016763289297624894,0.05117528825636948,0,0,-20,0
2.32,1.3991337210147177,1.014310424538915,1.2940058300131012,0.2183904667045911,0.009071080097194387,-0.0037598710958677674,0.04251959276592631,0.06193321801107806,-0.2191800951506781,-0.007319495694851421,0.014246309524779385,0.018038072928576992,0,0,-20,0
2.36,1.4024582235813146,1.0192216725434204,1.2763938066849574,0.21786499954419317,0.008349291961021077,-0.0024688324798794294,0.04127689240771085,0.05868411744965058,-0.22021967332750825,0.005479384631559075,-0.015676614959259236,-0.005967565947569716,0,0,-20,0
2.40,1.4040333552425515,1.021522470984867,1.2674782571620276,0.21744922838445419,0.0077837007144304915,-0.0030855101147245047,0.03940275441499034,0.05755569402720108,-0.22302720272337412,-0.010400736207134624,-0.01414856518798983,-0.015426518301293263,0,0,-20,0
2.44,1.4056307011486258,1.0237768747220337,1.2584705189297547,0.21701859833187787,0.008389598694264103,-0.0045198661193477764,0.039947257688525514,0.0563793018657461,-0.22527020539948703,-0.010769420457568301,0.015152611993012162,-0.035871121412010896,0,0,-20,0
2.48,1.4071886541578262,1.026218658564485,1.249497226679792,0.21625556619618466,0.008281169387599763,-0.00619727609025737,0.03883520761130841,0.060866522869132744,-0.22367790647491098,-0.019020157365948226,-0.002702825188303237,-0.041812919956413425,0,0,-20,0
2.52,1.4086029085702279,1.0283071830902943,1.2401934039170455,0.2163345515425095,0.007156065519750107,-0.0068645968318830465,0.03524966091605509,0.05205554298015295,-0.23189363578011907,0.001968674554502227,-0.028042712463378187,-0.016632672069666874,0,0,-20,0
2.56,1.4100279731159062,1.030513300310976,1.230988786303379,0.21610868453742452,0.006110508279926749,-0.00736137472845026,0.03543360992730255,0.054854144879684034,-0.228868812322727,-0.005616084813772017,-0.02599732587897081,-0.012352166265626362,0,0,-20,0
2.60,1.4114566593280196,1.032765207301631,1.2216110303423677,0.21590261242867803,0.007315921495935421,-0.007272149738616823,0.035977955127475605,0.05670874960092351,-0.23615576345669684,-0.005189420195032419,0.03035537280889332,0.0022469123403440357,0,0,-20,0
2.64,1.4128277909805593,1.0350227144639355,1.2122840937338344,0.2159130587435231,0.007274124478858751,-0.007149686045200093,0.03411787409171853,0.05617355925085059,-0.2320821988770702,0.0002599356917668453,-0.0010400353338716763,0.003047264546084589,0,0,-20,0
2.68,1.4141507528414519,1.0372729370877232,1.2027861599822343,0.2159907473438907,0.007501112741627347,-0.0072937623840847845,0.033237918026829225,0.05653429423967951,-0.23862482569751373,0.0019518380740738842,0.005702822956562779,-0.0036197547964264597,0,0,-20,0
2.72,1.4153943286452295,1.0395062732190004,1.1931014573982952,0.21564958938082168,0.007020135235614719,-0.005496373293703266,0.03087301991197186,0.05544481537964596,-0.24043248092091002,-0.008469589513532279,-0.011940750274515178,0.04462199168586525,0,0,-20,0
2.76,1.4166545058251154,1.04177016677039,1.1835337798255485,0.21567902543716483,0.007095609444513512,-0.00619127125459355,0.031825039355885675,0.057173310642742205,-0.2416261142934315,0.0007433904268029247,0.0019060571060141582,-0.017549242524499714,0,0,-20,0
2.80,1.4178948989134303,1.0440718917309582,1.1738663815410255,0.2152501615499474,0.006847814049226006,-0.005623369447998167,0.03016796184426926,0.055980923660864636,-0.235123611481137,-0.01043052360404315,-0.006026704034907676,0.013812105367287757,0,0,-20,0
2.84,1.4189952205799057,1.0461216123625685,1.1640543568188364,0.21607098049057988,0.006731727287214939,-0.0065612268780144535,0.027944460660386562,0.052055993533507476,-0.24919234729447237,0.020846033750548665,-0.002948212375569567,-0.023818416792694194,0,0,-20,0
2.88,1.4200496653323607,1.0483298573278268,1.154253198974883,0.21539378607723053,0.006907402201157889,-0.00695341488608196,0.026458764383534315,0.05541061596718395,-0.24593657038476827,-0.016992571097669912,0.004408141010036134,-0.009841018294553944,0,0,-20,0
2.92,1.4210781115609872,1.0505776502178565,1.1443815271272053,0.21555450732369008,0.007002012589778381,-0.00721820688317924,0.02591663240355883,0.05664391625805572,-0.2487640902981331,0.004050142193138003,0.0023841622392934687,-0.006672703600011477,0,0,-20,0
2.96,1.4216033256786451,1.053148865934239,1.1347356744231545,0.21079220195904605,0.0022549144281669847,-0.006678828788324859,0.013128800387081313,0.06427279229096514,-0.24111780406700678,-0.11904355654708162,-0.11866342142437855,0.013482857947697812,0,0,-20,0
3.00,1.4224755841522683,1.0554658595198232,1.1248171708184986,0.21047967614628169,0.0017110260897680446,-0.006339185752013682,0.02158060736250941,0.05732489891929539,-0.24539438525212615,-0.007732222798480616,-0.013456379083691355,0.008403131906069288,0,0,0,0
3.04,1.4237185772102956,1.0573772159476622,1.114518219511921,0.21606197409980335,0.006901237763426021,-0.00761978512507992,0.03132712070746039,0.04817186479297025,-0.25956419358725086,0.14069050561916904,0.13080876562254973,-0.03227491165687752,0,0,0,0
3.08,1.4244619859207144,1.05966306802039,1.1057775683653712,0.21643439911130177,0.009052954180998413,-0.006811451809707142,0.0186217526426565,0.057258640206222455,-0.2189458386828846,0.009328928145266634,0.0538986567195377,0.02024805849155416,0,0,0,0
3.12,1.425021099130119,1.061857186293175,1.1003061814784922,0.21693928946903296,0.009933527102961984,-0.004750992356578537,0.01393564755561586,0.0546874200618904,-0.13637187963622568,0.012584167144006083,0.02194788762112844,0.051356033551789394,0,0,0,0
3.16,1.4254632295451084,1.0639390690775572,1.0971015542987623,0.2176860781526184,0.009650591277471615,-0.005279256904907642,0.011080547613879773,0.052175558470507435,-0.08031346147174573,0.018715807113553085,-0.007090857764431879,-0.013239216941514694,0,0,0,0
3.20,1.4257914951947168,1.0659752061476762,1.095121470989521,0.2181212337215866,0.008404928406551881,-0.006514224337492086,0.00816068284295703,0.05061836008077569,-0.04922486379134492,0.010817965845442907,-0.030967174393511755,-0.03070128583579997,0,0,0,0
3.24,1.4260008932883594,1.06789601495261,1.0936537493135965,0.2184886259908259,0.007066616359953537,-0.006916784945315152,0.005239829501704012,0.048064958320024435,-0.0367272270917852,0.00919336378650937,-0.033488972235917944,-0.01007339136857291,0,0,0,0
3.28,1.426108055450573,1.0698550538738931,1.0926156527431474,0.21795642757253794,0.005094883781811013,-0.00824546133529162,0.0026910383812051623,0.04919505932461317,-0.026068508294092477,-0.013364478099798899,-0.04951382032290675,-0.03336550035733488,0,0,0,0
3.32,1.4262254074375884,1.0719369475612561,1.0915899409976892,0.2183237454722295,0.00498889738345791,-0.008478833128261514,0.0029088013317271613,0.05160385677592507,-0.025424296316039013,0.009104701360099426,-0.002627082715130029,-0.005784581918403909,0,0,0,0
3.36,1.4262126056955435,1.0738741122825695,1.0907320367315603,0.21885772917429855,0.004740281718686776,-0.010514678215775047,-0.0003065956219389748,0.04639417201559633,-0.02054639838202154,0.012788655221080539,-0.005954226705792972,-0.04875751976485237,0,0,0,0
3.40,1.4261557697599037,1.0759847376537688,1.0898445955709215,0.21872327790073454,0.0037205275235256408,-0.009868461821090063,-0.0014895289498886252,0.05531425773811136,-0.0232576324329353,-0.0035236345116571375,-0.02672522900101929,0.016935729427855237,0,0,0,0
3.44,1.4257063171266973,1.0784045146799788,1.089359569460008,0.21392488522341363,-0.0028509821887652276,-0.008535579452676505,-0.011240614504186485,0.06051756898979576,-0.012130291680235512,-0.12000570992473696,-0.1643505943204882,0.0333348072206839,0,0,0,0
3.48,1.4260827667766742,1.0802528776721854,1.0883209739550765,0.21916466340400448,0.0025524620222499156,-0.009627831186830343,0.00946955584894339,0.04649539874692817,-0.026125773098771413,0.1318061316306618,0.13592313536747647,-0.02747549054251481,0,0,0,0
3.52,1.426019807093845,1.0823688402186953,1.0875872325156717,0.21995844446009177,0.0031329031640848215,-0.010053942480294158,-0.0015762201899859234,0.05297394677337119,-0.018369502815898435,0.019872618012183516,0.01453157013736063,-0.01066786225338261,0,0,0,0
3.56,1.4259061732106497,1.084629530958148,1.08695101483256,0.22019096046836095,0.002200704035233897,-0.00934931584960345,-0.002833738923864638,0.0563758551857052,-0.015865644665032368,0.005798355600693554,-0.02324666624018805,0.017571589160146728,0,0,0,0
3.60,1.4258367394026557,1.0868941577754638,1.0863013403139095,0.22016403320337297,0.0013254403172043988,-0.006710519089588901,-0.0017408065956026643,0.05677748943999927,-0.016288285487072663,-0.0006751057135830891,-0.02194413495753581,0.06615847433689231,0,0,0,0
3.64,1.425367303713164,1.0896251090030153,1.0861109736105792,0.21526133127134153,-0.0038391170512753897,-0.004452849266856335,-0.011496009237752472,0.06687825668683463,-0.0046618896454491245,-0.12006225338685707,-0.1264748304101887,0.055288069737591414,0,0,0,0
3.68,1.4257049782674935,1.0914953793787647,1.0853148646428106,0.22057727183343673,0.0007865569365350794,-0.005710519507303319,0.00859458182742136,0.04760261493702412,-0.020262775442516468,0.13530272140686156,0.11773387448203726,-0.03201055470376263,0,0,0,0
3.72,1.4256473787694781,1.0937785465436667,1.0847476326038548,0.22108651835066567,0.0019394080704528277,-0.006135825288707414,-0.0014461519416971045,0.05732353132414046,-0.014241508047675443,0.01278566419964104,0.028944660339858534,-0.010678162185160283,0,0,0,0
3.76,1.4255796934994096,1.096029946086147,1.0841051287158403,0.22124628848653635,0.0015884189633057766,-0.006046101230434514,-0.0016897664918093867,0.0562063134668373,-0.01604014491964374,0.003988670233757724,-0.008762462373968377,0.002239966052070786,0,0,0,0
3.80,1.4254732057030666,1.0983625086926783,1.083539875214955,0.2208773816330784,0.0010443962177113103,-0.005101450275109704,-0.0026566236239488664,0.05819202892403775,-0.014101764291697232,-0.009203370673348685,-0.013572106171265568,0.023566851136795904,0,0,0,0
3.84,1.4254241374333905,1.1005680083045433,1.0829281640492037,0.2213683948662849,0.00018446903171251416,-0.004709157776605005,-0.0012223727914350549,0.054942689743499785,-0.01523874981056507,0.012231962130886289,-0.021422226659282964,0.009772663263277543,0,0,0,0
3.88,1.4254231253161798,1.1027718506934072,1.0823390179449817,0.221963645307952,0.001024795453089436,-0.004639480254462297,-2.5363728657116447e-05,0.05522844564128357,-0.014764042908064596,0.014917018034809888,0.021058639364801988,0.0017461236173343458,0,0,0,0
3.92,1.4253928596138434,1.1049348860768853,1.0817432066314914,0.22268741371317144,0.0006003174812362483,-0.0017578833165175336,-0.0007575599088857502,0.054141445977857305,-0.014913341819892588,0.01811614748005576,-0.010624815182138179,0.0721272643699579,0,0,0,0
3.96,1.4253958304712948,1.1069740540873472,1.0812672548011792,0.2233092348568075,0.001272862186181875,-0.003388006169353014,7.410190116170407e-05,0.05086283298218525,-0.0118716350631882,0.015510043709634758,0.01677523814869682,-0.04066004663609545,0,0,0,0
